Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.129.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.129.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.128.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.128.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.127.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.127.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.126.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.126.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.125.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.125.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.124.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.124.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.123.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.123.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.122.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.122.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.121.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.121.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.120.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.120.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.119.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.119.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.118.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.118.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.117.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.117.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.116.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.116.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.115.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.115.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.114.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.114.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.113.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.113.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.112.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.112.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.111.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.111.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.110.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.110.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.109.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.109.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.108.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.108.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.107.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.107.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.106.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.106.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.105.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.105.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.104.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.104.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.103.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.103.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.102.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.102.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.101.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.101.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.100.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.100.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.099.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.099.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.098.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.098.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.097.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.097.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.096.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.096.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.095.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.095.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.094.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.094.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
